,cluster,log_size,lgbm_default_training_cov_3.5_fbeta,lgbm_default_validation_cov_3.5_fbeta,lgbm_optimal_training_cov_3.5_fbeta,lgbm_optimal_validation_cov_3.5_fbeta,lr_default_training_cov_3.5_fbeta,lr_default_validation_cov_3.5_fbeta,lr_optimal_training_cov_3.5_fbeta,lr_optimal_validation_cov_3.5_fbeta,rfmulti_default_training_cov_3.5_fbeta,rfmulti_default_validation_cov_3.5_fbeta,rfmulti_optimal_training_cov_3.5_fbeta,rfmulti_optimal_validation_cov_3.5_fbeta,svm_default_training_cov_3.5_fbeta,svm_default_validation_cov_3.5_fbeta,svm_optimal_training_cov_3.5_fbeta,svm_optimal_validation_cov_3.5_fbeta,nn_default_training_cov_3.5_fbeta,nn_default_validation_cov_3.5_fbeta,nn_optimal_training_cov_3.5_fbeta,nn_optimal_validation_cov_3.5_fbeta
29,Inh L1 SST NMBR,8.144658242831882,0.9540389972144846,0.8706467661691542,1.0,0.9688581314878894,1.0,1.0,1.0,0.9824561403508772,1.0,0.9302325581395348,1.0,0.9302325581395348,0.9988179669030732,0.99644128113879,1.0,0.9824561403508772,1.0,0.955631399317406,1.0,0.9786476868327402
30,Exc L5-6 FEZF2 EFTUD1P1,8.294620748891628,0.9615384615384616,0.8833922261484098,1.0,0.9682539682539684,1.0,0.8870967741935484,1.0,0.9735973597359736,1.0,0.9561128526645768,1.0,0.9561128526645768,1.0,0.99009900990099,1.0,0.977198697068404,1.0,0.9597523219814242,1.0,0.977198697068404
31,Inh L1-2 LAMP5 DBP,4.392317422778762,0.9183673469387756,0.0,1.0,0.625,1.0,0.9957776213933848,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5
32,Exc L6 FEZF2 SCUBE1,5.7004397181410935,0.4545454545454546,0.3398058252427185,1.0,0.957446808510638,1.0,0.9615384615384616,1.0,0.9322033898305084,1.0,0.9322033898305084,1.0,1.0,1.0,0.9090909090909092,1.0,0.8730158730158731,1.0,0.8181818181818183,1.0,0.8474576271186441
33,Inh L1-4 VIP PENK,4.087462841250339,0.8695652173913044,0.4166666666666667,1.0,0.625,1.0,0.9677419354838708,1.0,0.625,1.0,0.625,1.0,0.625,1.0,0.0,1.0,0.625,1.0,0.8333333333333334,1.0,0.625
34,Inh L1-3 VIP CHRM2,7.451211111832329,0.8992805755395683,0.5511811023622047,1.0,0.8379888268156425,1.0,0.2777777777777778,1.0,0.8895705521472391,1.0,0.7021276595744681,1.0,0.7142857142857143,0.998080614203455,0.8709677419354839,1.0,0.8282208588957055,1.0,0.8187134502923976,1.0,0.8659217877094973
35,Endo L2-6 NOSTRIN,3.169925001442312,0.2380952380952381,0.0,1.0,1.0,1.0,0.9420289855072465,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,0.0,1.0,1.0,1.0,1.0,1.0,1.0
36,Inh L1-2 PAX6 TNFAIP8L3,4.0,0.9210526315789476,0.4545454545454545,1.0,0.9090909090909092,1.0,1.0,1.0,0.9090909090909092,1.0,0.9090909090909092,1.0,0.9090909090909092,1.0,0.0,1.0,1.0,1.0,0.6666666666666667,1.0,0.9090909090909092
37,Inh L2-5 VIP SERPINF1,5.78135971352466,0.5622489959839356,0.202020202020202,1.0,0.980392156862745,1.0,0.6790123456790124,1.0,0.9302325581395351,1.0,0.957446808510638,1.0,0.980392156862745,1.0,0.3333333333333333,1.0,0.9302325581395351,1.0,0.957446808510638,1.0,0.9322033898305084
38,Exc L4-6 RORB C1R,7.321928094887363,0.8504098360655739,0.5405405405405406,1.0,0.875,1.0,0.980392156862745,1.0,0.8333333333333334,1.0,0.8712121212121212,1.0,0.8593749999999999,0.9895833333333331,0.875,1.0,0.8333333333333334,1.0,0.8035714285714286,1.0,0.8536585365853658
39,Inh L1-3 VIP CCDC184,6.0,0.608695652173913,0.29702970297029696,1.0,0.7377049180327868,1.0,0.8950617283950616,1.0,0.8888888888888891,1.0,0.7142857142857144,1.0,0.7017543859649122,0.9705882352941176,0.0,1.0,0.9183673469387756,0.8878504672897197,0.5714285714285715,1.0,0.7692307692307692
40,Inh L1-2 VIP PCDH20,5.930737337562888,0.4882154882154882,0.2631578947368421,1.0,0.8593749999999999,1.0,0.9782608695652176,1.0,0.9166666666666666,1.0,0.8333333333333334,1.0,0.9375,1.0,0.875,1.0,0.8333333333333334,1.0,0.75,1.0,0.9821428571428572
